"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13552","Hover over second product and click ""Add to cart""","","Mon Jul 14 12:35:56 GMT-03:00 2025","broken","Mon Jul 14 12:36:09 GMT-03:00 2025","","Test Case 04: Add Products in Cart","",""
"","440","Verify that the product is displayed on the cart page with the exact quantity","","Mon Jul 14 12:35:15 GMT-03:00 2025","passed","Mon Jul 14 12:35:16 GMT-03:00 2025","","Test Case 03: Verify Product quantity in Cart","",""
"","13151","Hover over first product and click ""Add to cart""","","Mon Jul 14 12:35:32 GMT-03:00 2025","broken","Mon Jul 14 12:35:45 GMT-03:00 2025","","Test Case 04: Add Products in Cart","",""
"","483","Select the ""Sign up for our newsletter!"" checkbox","","Mon Jul 14 12:34:42 GMT-03:00 2025","passed","Mon Jul 14 12:34:42 GMT-03:00 2025","","Test Case 01: Register User","",""
"","7534","Click Signup button","","Mon Jul 14 12:34:30 GMT-03:00 2025","passed","Mon Jul 14 12:34:37 GMT-03:00 2025","","Test Case 01: Register User","",""
"","10263","Click ""View Cart"" button","","Mon Jul 14 12:36:09 GMT-03:00 2025","failed","Mon Jul 14 12:36:20 GMT-03:00 2025","","Test Case 04: Add Products in Cart","",""
"","3861","Click the ""Create Account"" button","","Mon Jul 14 12:34:48 GMT-03:00 2025","passed","Mon Jul 14 12:34:52 GMT-03:00 2025","","Test Case 01: Register User","",""
"","4449","Enter name and email address","","Mon Jul 14 12:34:25 GMT-03:00 2025","passed","Mon Jul 14 12:34:30 GMT-03:00 2025","","Test Case 01: Register User","",""
"","1570","Increase quantity to 4","","Mon Jul 14 12:35:10 GMT-03:00 2025","passed","Mon Jul 14 12:35:12 GMT-03:00 2025","","Test Case 03: Verify Product quantity in Cart","",""
"","17446"," Click ""View Product"" for any product on home page","","Mon Jul 14 12:34:53 GMT-03:00 2025","passed","Mon Jul 14 12:35:10 GMT-03:00 2025","","Test Case 03: Verify Product quantity in Cart","",""
"","4557","Fill in the details: Title, Name, Email, Password, Date of birth","","Mon Jul 14 12:34:37 GMT-03:00 2025","passed","Mon Jul 14 12:34:42 GMT-03:00 2025","","Test Case 01: Register User","",""
"","4468","Check that all products related to the search are visible","","Mon Jul 14 12:34:31 GMT-03:00 2025","failed","Mon Jul 14 12:34:36 GMT-03:00 2025","","Test Case 02: Search Product","",""
"","666","Select the ""Receive special offers from our partners!"" checkbox","","Mon Jul 14 12:34:42 GMT-03:00 2025","passed","Mon Jul 14 12:34:43 GMT-03:00 2025","","Test Case 01: Register User","",""
"","27713","Verify that ""ACCOUNT DELETED!"" is visible and click ""Continue"" button","","Mon Jul 14 12:35:02 GMT-03:00 2025","passed","Mon Jul 14 12:35:30 GMT-03:00 2025","","Test Case 01: Register User","",""
"","30920","Click on the ""Signup / Login"" button","","Mon Jul 14 12:33:54 GMT-03:00 2025","passed","Mon Jul 14 12:34:25 GMT-03:00 2025","","Test Case 01: Register User","",""
"","25562","Click on ""Products"" button","","Mon Jul 14 12:33:54 GMT-03:00 2025","passed","Mon Jul 14 12:34:19 GMT-03:00 2025","","Test Case 02: Search Product","",""
"","11136","Enter the product name in the search field and click the search button","","Mon Jul 14 12:34:19 GMT-03:00 2025","passed","Mon Jul 14 12:34:31 GMT-03:00 2025","","Test Case 02: Search Product","",""
"","10322","Click ""Continue Shopping"" button","","Mon Jul 14 12:35:45 GMT-03:00 2025","failed","Mon Jul 14 12:35:56 GMT-03:00 2025","","Test Case 04: Add Products in Cart","",""
"","4931","Fill in the details: First Name, Last Name, Company, Address, Address 2, Country, State, City, Zip Code, Mobile Number","","Mon Jul 14 12:34:43 GMT-03:00 2025","passed","Mon Jul 14 12:34:48 GMT-03:00 2025","","Test Case 01: Register User","",""
"","366","Click ""Add to cart"" button","","Mon Jul 14 12:35:12 GMT-03:00 2025","passed","Mon Jul 14 12:35:12 GMT-03:00 2025","","Test Case 03: Verify Product quantity in Cart","",""
"","18","Verify both products are added to Cart","","Mon Jul 14 12:36:20 GMT-03:00 2025","passed","Mon Jul 14 12:36:20 GMT-03:00 2025","","Test Case 04: Add Products in Cart","",""
"","3371","Click ""View Cart"" button","","Mon Jul 14 12:35:12 GMT-03:00 2025","passed","Mon Jul 14 12:35:15 GMT-03:00 2025","","Test Case 03: Verify Product quantity in Cart","",""
"","615","Check if ""SEARCHED PRODUCTS"" is visible","","Mon Jul 14 12:34:31 GMT-03:00 2025","passed","Mon Jul 14 12:34:31 GMT-03:00 2025","","Test Case 02: Search Product","",""
"","3991","Click ""Delete Account"" button","","Mon Jul 14 12:34:58 GMT-03:00 2025","passed","Mon Jul 14 12:35:02 GMT-03:00 2025","","Test Case 01: Register User","",""
"","6543","Click ""Continue"" button","","Mon Jul 14 12:34:52 GMT-03:00 2025","passed","Mon Jul 14 12:34:58 GMT-03:00 2025","","Test Case 01: Register User","",""
